time,longitude,latitude,pm25_rh35_gcc
2022-06-01 00:30:00,29.75,-2.25,17.908321
2022-06-01 00:30:00,29.75,-2.0,24.783321
2022-06-01 00:30:00,29.75,-1.75,26.814571
2022-06-01 00:30:00,30.0,-2.25,13.455196
2022-06-01 00:30:00,30.0,-2.0,18.845821
2022-06-01 00:30:00,30.0,-1.75,18.877071
2022-06-01 00:30:00,30.25,-2.25,11.611446
2022-06-01 00:30:00,30.25,-2.0,11.548946
2022-06-01 00:30:00,30.25,-1.75,9.955196
2022-06-01 00:30:00,30.5,-2.25,11.252071
2022-06-01 00:30:00,30.5,-2.0,9.955196
2022-06-01 00:30:00,30.5,-1.75,8.142696
2022-06-01 01:30:00,29.75,-2.25,19.060488
2022-06-01 01:30:00,29.75,-2.0,26.560488
2022-06-01 01:30:00,29.75,-1.75,27.247988
2022-06-01 01:30:00,30.0,-2.25,15.326114
2022-06-01 01:30:00,30.0,-2.0,20.654238
2022-06-01 01:30:00,30.0,-1.75,19.935488
2022-06-01 01:30:00,30.25,-2.25,12.654239
2022-06-01 01:30:00,30.25,-2.0,12.826114
2022-06-01 01:30:00,30.25,-1.75,10.247989
2022-06-01 01:30:00,30.5,-2.25,11.560489
2022-06-01 01:30:00,30.5,-2.0,11.279239
2022-06-01 01:30:00,30.5,-1.75,8.466739
2022-06-01 02:30:00,29.75,-2.25,19.873085
2022-06-01 02:30:00,29.75,-2.0,27.998085
2022-06-01 02:30:00,29.75,-1.75,27.248085
2022-06-01 02:30:00,30.0,-2.25,16.841835
2022-06-01 02:30:00,30.0,-2.0,23.091835
2022-06-01 02:30:00,30.0,-1.75,21.591835
2022-06-01 02:30:00,30.25,-2.25,13.013711
2022-06-01 02:30:00,30.25,-2.0,14.685586
2022-06-01 02:30:00,30.25,-1.75,10.732461
2022-06-01 02:30:00,30.5,-2.25,11.669961
2022-06-01 02:30:00,30.5,-2.0,12.529336
2022-06-01 02:30:00,30.5,-1.75,8.966836
2022-06-01 03:30:00,29.75,-2.25,20.81409
2022-06-01 03:30:00,29.75,-2.0,29.25159
2022-06-01 03:30:00,29.75,-1.75,27.68909
2022-06-01 03:30:00,30.0,-2.25,17.78284
2022-06-01 03:30:00,30.0,-2.0,28.72034
2022-06-01 03:30:00,30.0,-1.75,23.43909
2022-06-01 03:30:00,30.25,-2.25,12.923465
2022-06-01 03:30:00,30.25,-2.0,17.56409
2022-06-01 03:30:00,30.25,-1.75,11.68909
2022-06-01 03:30:00,30.5,-2.25,12.142215
2022-06-01 03:30:00,30.5,-2.0,13.985965
2022-06-01 03:30:00,30.5,-1.75,9.892215
2022-06-01 04:30:00,29.75,-2.25,21.375568
2022-06-01 04:30:00,29.75,-2.0,30.281818
2022-06-01 04:30:00,29.75,-1.75,28.781818
2022-06-01 04:30:00,30.0,-2.25,18.031818
2022-06-01 04:30:00,30.0,-2.0,32.00057
2022-06-01 04:30:00,30.0,-1.75,25.844318
2022-06-01 04:30:00,30.25,-2.25,12.563069
2022-06-01 04:30:00,30.25,-2.0,18.875568
2022-06-01 04:30:00,30.25,-1.75,13.453694
2022-06-01 04:30:00,30.5,-2.25,12.453694
2022-06-01 04:30:00,30.5,-2.0,14.906819
2022-06-01 04:30:00,30.5,-1.75,10.734944
2022-06-01 05:30:00,29.75,-2.25,16.905682
2022-06-01 05:30:00,29.75,-2.0,24.186932
2022-06-01 05:30:00,29.75,-1.75,23.686932
2022-06-01 05:30:00,30.0,-2.25,14.999432
2022-06-01 05:30:00,30.0,-2.0,22.593182
2022-06-01 05:30:00,30.0,-1.75,14.655682
2022-06-01 05:30:00,30.25,-2.25,9.718182
2022-06-01 05:30:00,30.25,-2.0,9.311932
2022-06-01 05:30:00,30.25,-1.75,9.796307
2022-06-01 05:30:00,30.5,-2.25,9.421307
2022-06-01 05:30:00,30.5,-2.0,9.515057
2022-06-01 05:30:00,30.5,-1.75,8.827557
2022-06-01 06:30:00,29.75,-2.25,9.405164
2022-06-01 06:30:00,29.75,-2.0,11.920789
2022-06-01 06:30:00,29.75,-1.75,11.405164
2022-06-01 06:30:00,30.0,-2.25,8.170789
2022-06-01 06:30:00,30.0,-2.0,10.905164
2022-06-01 06:30:00,30.0,-1.75,9.295789
2022-06-01 06:30:00,30.25,-2.25,6.037976
2022-06-01 06:30:00,30.25,-2.0,6.3426633
2022-06-01 06:30:00,30.25,-1.75,6.725476
2022-06-01 06:30:00,30.5,-2.25,5.6239133
2022-06-01 06:30:00,30.5,-2.0,6.022351
2022-06-01 06:30:00,30.5,-1.75,6.4676633
2022-06-01 07:30:00,29.75,-2.25,6.1708045
2022-06-01 07:30:00,29.75,-2.0,7.022367
2022-06-01 07:30:00,29.75,-1.75,7.4676795
2022-06-01 07:30:00,30.0,-2.25,5.2801795
2022-06-01 07:30:00,30.0,-2.0,6.725492
2022-06-01 07:30:00,30.0,-1.75,6.6395545
2022-06-01 07:30:00,30.25,-2.25,4.584867
2022-06-01 07:30:00,30.25,-2.0,5.1083045
2022-06-01 07:30:00,30.25,-1.75,5.4520545
2022-06-01 07:30:00,30.5,-2.25,4.4051795
2022-06-01 07:30:00,30.5,-2.0,4.756742
2022-06-01 07:30:00,30.5,-1.75,5.241117
2022-06-01 08:30:00,29.75,-2.25,4.983428
2022-06-01 08:30:00,29.75,-2.0,5.655303
2022-06-01 08:30:00,29.75,-1.75,6.3506155
2022-06-01 08:30:00,30.0,-2.25,4.436553
2022-06-01 08:30:00,30.0,-2.0,5.436553
2022-06-01 08:30:00,30.0,-1.75,5.6787405
2022-06-01 08:30:00,30.25,-2.25,4.2256155
2022-06-01 08:30:00,30.25,-2.0,4.7724905
2022-06-01 08:30:00,30.25,-1.75,5.061553
2022-06-01 08:30:00,30.5,-2.25,4.202178
2022-06-01 08:30:00,30.5,-2.0,4.467803
2022-06-01 08:30:00,30.5,-1.75,4.842803
2022-06-01 09:30:00,29.75,-2.25,4.694817
2022-06-01 09:30:00,29.75,-2.0,5.3588796
2022-06-01 09:30:00,29.75,-1.75,6.1401296
2022-06-01 09:30:00,30.0,-2.25,4.382317
2022-06-01 09:30:00,30.0,-2.0,5.3276296
2022-06-01 09:30:00,30.0,-1.75,5.616692
2022-06-01 09:30:00,30.25,-2.25,4.3120046
2022-06-01 09:30:00,30.25,-2.0,4.819817
2022-06-01 09:30:00,30.25,-1.75,5.0620046
2022-06-01 09:30:00,30.5,-2.25,4.304192
2022-06-01 09:30:00,30.5,-2.0,4.507317
2022-06-01 09:30:00,30.5,-1.75,4.7495046
2022-06-01 10:30:00,29.75,-2.25,4.843911
2022-06-01 10:30:00,29.75,-2.0,5.4767237
2022-06-01 10:30:00,29.75,-1.75,6.187661
2022-06-01 10:30:00,30.0,-2.25,4.5235987
2022-06-01 10:30:00,30.0,-2.0,5.5235987
2022-06-01 10:30:00,30.0,-1.75,5.6798487
2022-06-01 10:30:00,30.25,-2.25,4.437661
2022-06-01 10:30:00,30.25,-2.0,4.953286
2022-06-01 10:30:00,30.25,-1.75,5.078286
2022-06-01 10:30:00,30.5,-2.25,4.281411
2022-06-01 10:30:00,30.5,-2.0,4.5860987
2022-06-01 10:30:00,30.5,-1.75,4.7267237
