time,longitude,latitude,pm25_rh35_gcc
2022-05-01 00:30:00,29.75,-2.25,19.663313
2022-05-01 00:30:00,29.75,-2.0,15.178937
2022-05-01 00:30:00,29.75,-1.75,11.663312
2022-05-01 00:30:00,30.0,-2.25,12.428937
2022-05-01 00:30:00,30.0,-2.0,17.788313
2022-05-01 00:30:00,30.0,-1.75,12.116437
2022-05-01 00:30:00,30.25,-2.25,8.928937
2022-05-01 00:30:00,30.25,-2.0,16.288313
2022-05-01 00:30:00,30.25,-1.75,11.288312
2022-05-01 00:30:00,30.5,-2.25,5.819562
2022-05-01 00:30:00,30.5,-2.0,12.975812
2022-05-01 00:30:00,30.5,-1.75,7.6398745
2022-05-01 01:30:00,29.75,-2.25,21.130703
2022-05-01 01:30:00,29.75,-2.0,16.818203
2022-05-01 01:30:00,29.75,-1.75,13.271327
2022-05-01 01:30:00,30.0,-2.25,13.661952
2022-05-01 01:30:00,30.0,-2.0,19.224453
2022-05-01 01:30:00,30.0,-1.75,12.615077
2022-05-01 01:30:00,30.25,-2.25,9.849452
2022-05-01 01:30:00,30.25,-2.0,17.755703
2022-05-01 01:30:00,30.25,-1.75,12.177577
2022-05-01 01:30:00,30.5,-2.25,6.451015
2022-05-01 01:30:00,30.5,-2.0,15.240077
2022-05-01 01:30:00,30.5,-1.75,9.427577
2022-05-01 02:30:00,29.75,-2.25,21.68232
2022-05-01 02:30:00,29.75,-2.0,20.52607
2022-05-01 02:30:00,29.75,-1.75,16.18232
2022-05-01 02:30:00,30.0,-2.25,14.072945
2022-05-01 02:30:00,30.0,-2.0,20.74482
2022-05-01 02:30:00,30.0,-1.75,14.27607
2022-05-01 02:30:00,30.25,-2.25,9.71357
2022-05-01 02:30:00,30.25,-2.0,19.36982
2022-05-01 02:30:00,30.25,-1.75,13.74482
2022-05-01 02:30:00,30.5,-2.25,6.799507
2022-05-01 02:30:00,30.5,-2.0,18.11982
2022-05-01 02:30:00,30.5,-1.75,12.52607
2022-05-01 03:30:00,29.75,-2.25,21.248611
2022-05-01 03:30:00,29.75,-2.0,22.842361
2022-05-01 03:30:00,29.75,-1.75,18.498611
2022-05-01 03:30:00,30.0,-2.25,16.154861
2022-05-01 03:30:00,30.0,-2.0,23.404861
2022-05-01 03:30:00,30.0,-1.75,17.404861
2022-05-01 03:30:00,30.25,-2.25,9.139236
2022-05-01 03:30:00,30.25,-2.0,22.248611
2022-05-01 03:30:00,30.25,-1.75,16.279861
2022-05-01 03:30:00,30.5,-2.25,6.732987
2022-05-01 03:30:00,30.5,-2.0,20.498611
2022-05-01 03:30:00,30.5,-1.75,15.920486
2022-05-01 04:30:00,29.75,-2.25,19.121511
2022-05-01 04:30:00,29.75,-2.0,23.559011
2022-05-01 04:30:00,29.75,-1.75,20.496511
2022-05-01 04:30:00,30.0,-2.25,19.434011
2022-05-01 04:30:00,30.0,-2.0,27.684011
2022-05-01 04:30:00,30.0,-1.75,22.027761
2022-05-01 04:30:00,30.25,-2.25,9.918386
2022-05-01 04:30:00,30.25,-2.0,26.371511
2022-05-01 04:30:00,30.25,-1.75,20.215261
2022-05-01 04:30:00,30.5,-2.25,7.1683865
2022-05-01 04:30:00,30.5,-2.0,22.559011
2022-05-01 04:30:00,30.5,-1.75,18.434011
2022-05-01 05:30:00,29.75,-2.25,10.683358
2022-05-01 05:30:00,29.75,-2.0,14.902108
2022-05-01 05:30:00,29.75,-1.75,16.433357
2022-05-01 05:30:00,30.0,-2.25,13.886483
2022-05-01 05:30:00,30.0,-2.0,19.464607
2022-05-01 05:30:00,30.0,-1.75,11.308358
2022-05-01 05:30:00,30.25,-2.25,8.230233
2022-05-01 05:30:00,30.25,-2.0,24.777107
2022-05-01 05:30:00,30.25,-1.75,20.620857
2022-05-01 05:30:00,30.5,-2.25,6.558358
2022-05-01 05:30:00,30.5,-2.0,21.964607
2022-05-01 05:30:00,30.5,-1.75,18.527107
2022-05-01 06:30:00,29.75,-2.25,6.0677586
2022-05-01 06:30:00,29.75,-2.0,6.8333836
2022-05-01 06:30:00,29.75,-1.75,6.8333836
2022-05-01 06:30:00,30.0,-2.25,6.794321
2022-05-01 06:30:00,30.0,-2.0,9.294321
2022-05-01 06:30:00,30.0,-1.75,6.2865086
2022-05-01 06:30:00,30.25,-2.25,5.278696
2022-05-01 06:30:00,30.25,-2.0,14.544321
2022-05-01 06:30:00,30.25,-1.75,14.294321
2022-05-01 06:30:00,30.5,-2.25,4.7083836
2022-05-01 06:30:00,30.5,-2.0,13.731821
2022-05-01 06:30:00,30.5,-1.75,13.513071
2022-05-01 07:30:00,29.75,-2.25,4.76053
2022-05-01 07:30:00,29.75,-2.0,5.2370925
2022-05-01 07:30:00,29.75,-1.75,5.1277175
2022-05-01 07:30:00,30.0,-2.25,4.72928
2022-05-01 07:30:00,30.0,-2.0,6.7370925
2022-05-01 07:30:00,30.0,-1.75,6.6277175
2022-05-01 07:30:00,30.25,-2.25,4.0066237
2022-05-01 07:30:00,30.25,-2.0,7.807405
2022-05-01 07:30:00,30.25,-1.75,11.408968
